member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0201,Amanda,Keith,2000-06-23,Female,211.555.0962,uwebster@example.com,74618 Lynch Lock,Morganstad,New Hampshire,81246,USA,2025-12-08,Inactive,C0885
M0202,Candace,Mathews,1997-06-07,Female,(911)334-2764x109,burkecurtis@example.com,69120 Michael Well,Timothystad,Montana,94570,USA,2024-07-20,Active,C0553
M0203,Christopher,Mcfarland,1972-11-29,Male,001-844-611-3520x85191,freemantaylor@example.org,62110 Donaldson Shoal Suite 325,East Deborah,Massachusetts,42392,USA,2021-06-18,Active,C0644
M0204,Kevin,Williams,2001-04-26,Male,(681)776-4705,danayang@example.net,2429 Jeremy Burg,Simonbury,Colorado,23724,USA,2024-10-07,Active,C0029
M0205,Kimberly,Hayes,1952-12-10,Female,+1-717-646-5973x656,kturner@example.com,762 Jason Orchard Suite 014,South Danielview,South Carolina,62359,USA,2024-04-26,Active,C0957
M0206,Tara,Mcneil,1953-10-30,Female,506-795-6183x76098,wilsonvictor@example.net,0655 Catherine Curve Apt. 709,Weissberg,Wisconsin,45255,USA,2021-08-08,Inactive,C0593
M0207,Veronica,Jones,1978-06-16,Female,(577)264-0933x8046,shutchinson@example.com,143 Thomas Haven,Flemingview,Tennessee,70969,USA,2021-05-08,Inactive,C0581
M0208,Brian,Gomez,2006-03-08,Male,(307)560-2128,rpowers@example.org,10208 Holly Trace Suite 920,North Karenmouth,Maine,60899,USA,2023-07-30,Inactive,C0769
M0209,Jocelyn,Leonard,2000-08-30,Female,+1-951-541-2803x7528,qhiggins@example.com,74425 Daniel Roads Suite 702,Danielland,Oregon,54102,USA,2022-09-20,Inactive,C0087
M0210,Jessica,Carlson,1986-06-01,Female,540-765-8040,elizabeth21@example.net,04297 Nicholas Circles Apt. 770,Williamsfurt,Oregon,98876,USA,2025-12-07,Inactive,C0650
M0211,Mike,Bell,1988-07-25,Male,+1-415-361-9383x11180,williamsrobert@example.net,776 Justin Trafficway,Josephview,Maryland,6383,USA,2021-09-11,Inactive,C0259
M0212,Amy,Pratt,1956-11-11,Female,(697)857-9947x9475,marilynchan@example.com,645 Cynthia Extension Suite 370,Mcdanielbury,South Carolina,78547,USA,2025-08-18,Active,C0424
M0213,Catherine,Newman,1966-01-12,Female,847.869.7849,patrick66@example.org,2863 Mcdonald Streets Suite 781,Youngtown,Texas,40815,USA,2022-08-11,Inactive,C0915
M0214,Debra,Walls,1961-10-30,Female,333-886-6002,nicole04@example.net,9083 Audrey Shore,Lake Christopherland,Rhode Island,72207,USA,2025-05-19,Inactive,C0376
M0215,Terry,Dunn,1968-09-26,Male,697.350.6613x7072,larachelsea@example.com,01491 Mcbride Spur,Lake Christophermouth,Ohio,86735,USA,2024-07-19,Inactive,C0255
M0216,Mary,Howell,1988-12-23,Female,(796)503-3913,nelsoneddie@example.com,48093 Alexander Ranch,Joneston,Iowa,99234,USA,2021-10-16,Inactive,C0515
M0217,Steven,Thomas,1976-03-10,Male,482-233-8727x4782,brookstrevor@example.net,5918 Vasquez Alley Apt. 361,Jacobfurt,Tennessee,47914,USA,2023-11-20,Active,C0690
M0218,Christopher,Jackson,1978-03-22,Male,+1-530-218-2802x672,brian12@example.net,810 Zimmerman Plains Apt. 501,North Lindsey,North Carolina,59008,USA,2025-02-24,Inactive,C0642
M0219,Gregory,Haney,1980-11-20,Male,4778753199,makayla54@example.net,824 Hernandez Creek,Brianborough,Georgia,51759,USA,2025-01-27,Inactive,C0112
M0220,Rachel,Mitchell,1980-09-14,Female,001-420-386-5424x5525,burnsrobin@example.net,513 Erica Fords,South Tyler,Vermont,20264,USA,2024-04-23,Inactive,C0877
M0221,Steven,Hart,1960-09-12,Male,+1-871-232-1509x43163,hansondiane@example.org,9805 Robert Cliffs,West Melissa,Pennsylvania,29757,USA,2021-08-26,Active,C0182
