provider_id,provider_name,Gender,Birth_date,address,city,state,zip_code,country,telephone_number,speciality_id,emergency_services,overall_rating,rating_footnote
PR0101,Rush University Medical Center,Female,null,193 Broadway,Los Angeles,CA,90001,Los Angeles,+1 (917) 514-3116,"GEN,ONCO",true,4,Recent quality improvements
PR0102,Sanford USD Medical Center,null,null,738 Oak St,Fort Worth,TX,76101,Tarrant,+1 (569) 227-9576,CARDIO,true,3,null
PR0103,Nebraska Medicine,null,null,709 Oak St,Fort Worth,TX,76101,Tarrant,+1 (488) 466-9493,"URO,GEN",false,4,Recent quality improvements
PR0104,M Health Fairview,null,null,840 Oak St,San Diego,CA,92101,San Diego,+1 (626) 501-3146,"CARDIO,RHEUM",false,1,Recent quality improvements
PR0105,Raymond E. Barbre,null,1990-11-29,667 Broadway,New York,NY,10001,New York,+1 (509) 328-7211,NEPH,true,1,Limited data
PR0106,University Hospitals Cleveland,null,null,611 Oak St,Phoenix,AZ,85001,Maricopa,+1 (513) 540-9104,"HEM,ALL",false,5,Recent quality improvements
PR0107,Vijay Bhagia,null,1989-12-03,393 Broadway,San Jose,CA,95101,Santa Clara,+1 (298) 151-8998,"GASTRO,ENT",true,2,null
PR0108,Mayo Clinic,null,null,585 Main St,San Diego,CA,92101,San Diego,+1 (222) 416-5415,RHEUM,true,5,null
PR0109,Cone Health,null,null,401 Oak St,Columbus,OH,43085,Franklin,+1 (734) 175-7063,DERMA,false,4,High patient satisfaction
PR0110,Altru Health System,Female,null,905 Maple Ave,Dallas,TX,75201,Dallas,+1 (782) 889-9161,"ENT,GEN",false,5,High patient satisfaction
PR0111,James L. Caskey,null,1977-06-18,512 Main St,Los Angeles,CA,90001,Los Angeles,+1 (743) 628-6680,"NEURO,NEPH",true,1,High patient satisfaction
PR0112,Julio De La Fuente,null,1984-03-22,409 Main St,San Francisco,CA,94101,San Francisco,+1 (675) 963-3577,ONCO,true,4,Recent quality improvements
PR0113,Stony Brook University Hospital,Female,null,226 Maple Ave,Denver,CO,80201,Denver,+1 (567) 552-1034,DERMA,true,1,null
PR0114,Allegheny General Hospital,null,null,949 Oak St,Fort Worth,TX,76101,Tarrant,+1 (500) 221-1304,SURG,false,5,High patient satisfaction
PR0115,Main Line Health,null,null,360 Maple Ave,Houston,TX,77001,Harris,+1 (287) 822-9423,URO,true,1,High patient satisfaction
PR0116,NYU Langone Health,null,null,972 Oak St,Houston,TX,77001,Harris,+1 (646) 174-3948,GASTRO,true,4,Limited data
PR0117,Cedars-Sii Medical Center,Male,null,939 Oak St,Charlotte,NC,28201,Mecklenburg,+1 (566) 502-8044,ALL,false,3,null
PR0118,ChristiaCare,null,null,198 Maple Ave,Philadelphia,PA,19101,Philadelphia,+1 (698) 680-9408,OBGYN,true,5,High patient satisfaction
PR0119,Vanderbilt University Medical Center,Female,null,360 Oak St,Phoenix,AZ,85001,Maricopa,+1 (916) 721-2345,URO,false,1,Recent quality improvements
PR0120,Regiol One Health,null,null,424 Main St,San Jose,CA,95101,Santa Clara,+1 (949) 716-4668,"SURG,ENDO",false,4,Limited data
