member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0651,Leah,Rodriguez,2004-07-25,Female,(304)782-0501x97781,matthewjimenez@example.org,86249 Johns Camp,Camachostad,Washington,77258,USA,2023-06-03,Inactive,C0630
M0652,John,Kennedy,1975-03-07,Male,698-620-7014x1478,melissa32@example.com,419 Amy Fords,Joshuachester,New Mexico,10724,USA,2026-04-22,Active,C0527
M0653,Megan,Coleman,2003-08-05,Female,627-230-3341x74701,johnsontammy@example.com,4934 Ramirez Route,Shawnmouth,Wyoming,6463,USA,2025-12-02,Active,C0524
M0654,Debra,King,2006-05-02,Female,866-200-6592,krodriguez@example.net,577 Douglas Common Suite 107,Scottfurt,North Dakota,70127,USA,2022-02-10,Inactive,C0912
M0655,Trevor,Griffin,1988-12-27,Male,812-964-7821,bauerbilly@example.org,291 Garner Streets Apt. 568,Janetside,Minnesota,37294,USA,2025-02-08,Inactive,C0406
M0656,Caitlyn,Carpenter,1954-12-23,Female,(590)230-2523x274,sarah62@example.net,0039 Donna Field Apt. 026,Joshuaview,South Carolina,28369,USA,2024-03-20,Inactive,C0437
M0657,Peggy,Shah,1991-04-01,Female,001-791-389-1008x617,sarahsmith@example.org,10750 Sarah Common,Lake Michaelland,Wyoming,99048,USA,2024-04-28,Inactive,C0765
M0658,Michael,Lopez,1978-02-22,Male,(398)576-4423x0715,fishermichaela@example.net,68697 Hill Skyway Apt. 687,Fullerbury,Maryland,61362,USA,2023-05-06,Active,C0210
M0659,William,Donovan,1975-05-15,Male,(951)804-7163,davidjohnson@example.net,2454 Brandon Lake Apt. 585,South Justin,New York,89193,USA,2025-08-12,Active,C0262
M0660,Jorge,Moreno,1995-07-20,Male,5796939532,lucerokevin@example.org,7613 Caroline Gateway,Fordburgh,Massachusetts,24752,USA,2021-05-26,Inactive,C0443
M0661,Sean,Ware,1972-11-29,Male,001-584-273-6926x967,barkerrandall@example.net,931 Michelle Locks Suite 703,Williamhaven,Arizona,17952,USA,2021-10-22,Inactive,C0848
