member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0601,George,Clark,2000-08-03,Male,2725866022,ccrawford@example.net,057 Green Road,Huntertown,Connecticut,16642,USA,2022-03-15,Inactive,C0233
M0602,John,Phillips,1977-03-28,Male,001-254-602-4356x3411,myoung@example.net,845 Davis Loop Suite 667,North Melissa,Nevada,90756,USA,2022-10-04,Inactive,C0782
M0603,Matthew,Cook,1981-07-30,Male,226-389-4315x29522,clane@example.net,428 Justin Hollow Apt. 345,North Lisa,Pennsylvania,16698,USA,2024-03-15,Active,C0678
M0604,Richard,Lowe,1955-06-26,Male,+1-952-553-6119x44372,mary60@example.com,95042 Melissa Mountains Suite 828,North Amanda,Alabama,4841,USA,2024-02-05,Active,C0823
M0605,Sherri,Miller,1976-01-17,Female,528.366.0644x53012,burgessrichard@example.com,381 Morgan Islands,West Jennifer,Maryland,30199,USA,2026-01-18,Active,C0251
M0606,Christina,Wallace,2000-05-05,Female,(402)866-8614,sabrinasmith@example.com,6227 Michael Burgs Apt. 093,Garciachester,Mississippi,3904,USA,2024-06-24,Active,C0341
M0607,Connie,Bell,1978-06-17,Female,645.745.1892,alexiswilliams@example.net,096 Mary Springs Suite 930,Williamshire,Kansas,60284,USA,2022-04-23,Inactive,C0971
M0608,Dawn,Thompson,1982-01-08,Female,(692)573-9999x3129,simmonspatty@example.net,388 Grace Forge,Georgefurt,Mississippi,1833,USA,2023-06-16,Inactive,C0332
M0609,Jason,Serrano,1974-08-16,Male,+1-624-532-8322,debraballard@example.org,7811 Daniel Common Apt. 840,Anthonychester,Alabama,48950,USA,2024-08-17,Active,C0654
M0610,Paul,Williams,1957-01-28,Male,669-575-4740x07525,reginald88@example.org,90261 Reyes Pines Apt. 276,West Beverlyville,New York,80444,USA,2021-07-23,Active,C0945
M0611,Kristin,Norton,1982-09-06,Female,590.519.2497,jonesandrew@example.com,733 Alec Landing,East Jenniferfurt,New Jersey,48200,USA,2026-04-08,Active,C0927
M0612,Jose,Stone,1977-05-25,Male,5564955355,hallgary@example.org,8673 Thompson Station Apt. 037,South Robin,Arkansas,74497,USA,2025-11-18,Active,C0739
M0613,Jose,Elliott,1988-12-12,Male,001-790-299-5371x601,dianediaz@example.com,9657 Webb Brooks Apt. 560,North Johnside,Rhode Island,25047,USA,2024-09-09,Inactive,C0546
M0614,Peter,Griffin,1989-09-24,Male,619.335.4687,brettcruz@example.org,49478 Flynn Dam Apt. 268,Deborahburgh,Arkansas,5157,USA,2023-08-13,Active,C0236
M0615,Nicole,Carpenter,1979-04-09,Female,2735839721,ymyers@example.com,66524 Judith Rest Suite 510,South Micheleburgh,Florida,19025,USA,2023-03-25,Inactive,C0856
M0616,Amy,Garrett,1972-06-09,Female,9183964526,oporter@example.org,948 Greer Shores,Lake Karen,New Mexico,54925,USA,2024-01-15,Active,C0353
M0617,John,Rice,1969-12-21,Male,445-278-0021x618,nmorales@example.org,4446 Tonya Tunnel Suite 572,Kevinfurt,Iowa,48439,USA,2025-03-22,Inactive,C0290
M0618,Jessica,Herman,1952-02-25,Female,001-284-844-3742x00487,kelly44@example.com,10016 Jacob Knoll Suite 727,West Deniseton,Georgia,86709,USA,2022-05-10,Active,C0188
M0619,Joshua,Lee,2003-12-22,Male,960-973-2678x1708,annafox@example.com,098 Elizabeth Pine,Janicehaven,Texas,9235,USA,2024-01-22,Active,C0395
M0620,Samantha,Erickson,1983-09-22,Female,+1-686-786-2177x111,bendercarol@example.org,545 Cain Estates,East Matthewbury,Utah,22561,USA,2022-02-03,Active,C0563
