member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0801,Kara,Kelley,1951-07-22,Female,+1-918-492-2001x3283,xmoore@example.com,536 Daniel Island,North Jason,Maine,33467,USA,2025-04-10,Inactive,C0528
M0802,Emily,Wade,1984-04-18,Female,493.419.3332x4261,dwayne35@example.org,981 Sean Canyon Suite 220,North Michaelbury,New Mexico,16193,USA,2025-05-22,Active,C0262
M0803,Matthew,Diaz,1980-04-27,Male,(927)294-9621x212,lindabarrett@example.net,0473 Gabrielle Locks,Robertstown,Florida,5971,USA,2021-12-20,Active,C0323
M0804,Jeffery,Weaver,1960-06-05,Male,522-902-1160x00349,russell56@example.org,674 Grant Forge,North Latashahaven,Mississippi,1916,USA,2025-03-28,Active,C0402
M0805,Mary,Page,1981-11-11,Female,4393243991,christina91@example.com,5794 Christian Neck Suite 384,Pettyfort,Michigan,85960,USA,2026-03-05,Inactive,C0355
M0806,Lindsey,Johnson,1989-02-15,Female,001-802-458-5597x34824,rruiz@example.org,882 Good Hills Apt. 064,Ortizmouth,North Carolina,16634,USA,2024-12-18,Active,C0274
M0807,Sydney,Moore,1962-11-25,Female,+1-651-676-1540x437,kennedykaren@example.org,23841 Browning Underpass,South Tanya,Pennsylvania,56400,USA,2022-09-26,Inactive,C0442
M0808,Eric,Johnson,1991-01-05,Male,(712)692-5909x0433,toni69@example.org,542 Brad Forge Suite 080,East Jacquelineborough,New Hampshire,33010,USA,2023-01-18,Active,C0391
M0809,Jennifer,Leon,1976-07-29,Female,001-360-761-6310x13290,cfloyd@example.org,33105 Paul Unions,Jonesbury,Illinois,71269,USA,2024-05-30,Active,C0417
M0810,Matthew,Hamilton,1978-04-10,Male,453.801.2800,stacy24@example.com,1002 Timothy Lock Suite 320,South Jamesshire,Maine,6697,USA,2025-02-25,Inactive,C0392
M0811,Cindy,Jones,2005-12-07,Female,(552)252-8251x755,darrenmyers@example.com,83652 Ramirez Mountain,Stewartchester,Wisconsin,23528,USA,2022-08-15,Inactive,C0426
M0812,Jennifer,Smith,1984-09-24,Female,(691)930-1202,bmarquez@example.net,72810 Hall Harbor,Mcbridehaven,West Virginia,2773,USA,2026-02-13,Active,C0366
M0813,Joseph,Nelson,1970-11-04,Male,001-900-704-2464x678,derek43@example.org,5338 Rodriguez Isle Apt. 825,Andersonmouth,West Virginia,95064,USA,2026-01-11,Inactive,C0611
M0814,Roberto,Barnett,1995-09-23,Male,969-990-1752,xtaylor@example.com,4766 Jenkins Springs,Donaldville,Iowa,93951,USA,2022-08-04,Active,C0828
M0815,Marcus,White,2005-08-09,Male,001-554-544-3181,michaeldavidson@example.org,5122 Sherri Stravenue Apt. 226,Port Phillip,Michigan,21804,USA,2023-02-19,Active,C0139
M0816,Kaitlyn,Jennings,1998-03-07,Female,001-479-748-4167x0854,qjenkins@example.org,7257 Bradshaw Flats Apt. 996,West William,Mississippi,52798,USA,2021-08-29,Inactive,C0581
M0817,Bruce,Jackson,1957-01-05,Male,+1-758-313-6948x597,aaron01@example.org,0991 April Pines Apt. 831,Curtismouth,Washington,10792,USA,2023-01-26,Active,C0089
M0818,Robin,Alvarez,1975-01-31,Female,353.873.4619x9508,romerobrandy@example.com,601 Kelly Curve Apt. 769,North Sara,Washington,25335,USA,2025-11-02,Inactive,C0832
M0819,Deanna,Anderson,2003-12-10,Female,4486694129,robert18@example.net,505 Erica Course Apt. 118,Perkinsborough,Iowa,53413,USA,2022-04-24,Inactive,C0070
M0820,Virginia,Wilson,1981-10-24,Female,001-293-584-1107x293,kennedychase@example.net,0178 Meyers Stravenue Suite 851,Mcguireshire,Maryland,17212,USA,2024-06-09,Inactive,C0313
M0821,Amanda,Thomas,1988-02-24,Female,9945219834,lsmith@example.org,06256 Burton Ridge Apt. 585,Johnfurt,Michigan,42497,USA,2026-02-17,Active,C0767
M0822,Mariah,Porter,1986-05-14,Female,(397)649-8625x54776,juan89@example.com,45747 Bush Manors Apt. 373,Annefurt,Colorado,79225,USA,2022-06-29,Active,C0061
