member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0301,Donald,Davis,1965-04-24,Male,(836)994-1636,tiffanymoon@example.net,2359 Claire Ridge Suite 134,South Markton,Oregon,82955,USA,2024-02-23,Inactive,C0794
M0302,Dominique,Williams,2001-12-22,Female,001-903-381-5575x0803,kevinpearson@example.com,0463 Reyes Village Apt. 832,North Alexander,Massachusetts,10273,USA,2022-04-08,Active,C0486
M0303,Patricia,Foley,1957-09-18,Female,(236)660-8954,anthonychang@example.com,71650 Todd Place,Lake Joyceville,Ohio,36551,USA,2023-01-26,Active,C0662
M0304,Debra,Fuller,1994-10-04,Female,001-304-985-8097,cbailey@example.org,1327 Eddie Rapids Suite 479,Gregoryshire,Alabama,51727,USA,2024-05-02,Inactive,C0782
M0305,Andrea,Owens,1949-07-22,Female,422-533-3601,williamwatson@example.net,999 Logan Forges Suite 848,New Sarashire,Arkansas,36179,USA,2022-09-03,Inactive,C0957
M0306,Andrew,Fleming,1978-05-31,Male,624-633-8961,jesse76@example.com,812 Rebecca Club,Martinton,Arizona,96592,USA,2022-03-10,Active,C0283
M0307,Julia,Cook,2000-04-04,Female,001-278-773-6395x8956,hillamy@example.net,7054 Knight Dale Apt. 753,Mcdanielhaven,Montana,20884,USA,2023-04-21,Inactive,C0486
M0308,Steven,Espinoza,1991-08-04,Male,522-988-8485x150,danielbrian@example.com,8085 Jordan Forks,South Carlahaven,Utah,71503,USA,2022-11-23,Active,C0504
M0309,Lauren,West,1982-10-14,Female,+1-573-783-9458,gbonilla@example.net,613 Gregory Unions,East Gregoryshire,North Carolina,39533,USA,2022-01-31,Inactive,C0331
M0310,Margaret,Williams,1980-09-27,Female,(682)845-2243,pjefferson@example.com,37525 Gonzales Road,West Connieborough,Louisiana,59463,USA,2023-02-28,Inactive,C0043
M0311,Shaun,Olson,1999-08-04,Male,809-368-7934,matthew89@example.net,06570 Christopher Land Apt. 050,Kristaton,Michigan,92639,USA,2023-01-21,Active,C0045
M0312,Bianca,Caldwell,1991-01-22,Female,001-226-736-0346x465,zmcintosh@example.net,5458 Tanner Squares Suite 966,Josephbury,Hawaii,60651,USA,2022-04-13,Active,C0589
M0313,Joseph,Christian,1974-10-09,Male,+1-610-960-7662x661,sheppardleslie@example.org,2458 Hess Way,Port Lauren,Delaware,90622,USA,2025-05-26,Active,C0741
M0314,Danielle,Brooks,1954-10-06,Female,375-547-9331x05541,cwashington@example.org,0968 Gabriel Lodge,New Rogerhaven,Wisconsin,64855,USA,2024-02-23,Active,C0108
M0315,Michelle,Nelson,1976-06-28,Female,+1-220-730-5877x21498,juliapeterson@example.org,38595 Ashley Union Apt. 083,North Danatown,New York,33451,USA,2021-08-24,Active,C0250
