member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0701,Jason,Cox,1970-12-16,Male,335-774-1916x7137,reyesjulie@example.com,36813 Kayla Manors Apt. 696,South Richardstad,Nebraska,9813,USA,2022-12-11,Active,C0420
M0702,John,Miller,1965-12-09,Male,887.604.6387,coliver@example.com,92835 Lopez Alley,Millertown,Nebraska,81876,USA,2022-11-23,Active,C0286
M0703,Jeremy,Fletcher,2005-05-03,Male,(938)419-8034,chenanthony@example.net,641 Orr Parks,South Kenneth,Montana,84152,USA,2025-12-29,Active,C0853
M0704,Megan,Roberts,1966-07-21,Female,823-308-7219x31794,susandavis@example.com,95526 Kevin Stream,Lake Cynthiaberg,North Dakota,41112,USA,2022-06-07,Inactive,C0245
M0705,Luis,Jackson,1968-06-24,Male,(731)782-8417,melinda47@example.com,972 Barnes Throughway,Yangstad,Florida,20975,USA,2025-11-23,Inactive,C0731
M0706,Sheri,Schultz,1976-05-06,Female,+1-634-845-3697x745,cassidy31@example.net,958 Karen Lodge Suite 690,Connorberg,Utah,83093,USA,2025-06-22,Active,C0497
M0707,Randy,Harris,1985-09-23,Male,(801)550-8919x3191,slane@example.net,98490 David Stream,South Staceymouth,Hawaii,72259,USA,2022-01-15,Active,C0562
M0708,Chelsea,Sandoval,1953-12-24,Female,001-803-567-4439x9454,wayne80@example.org,335 Foster Green Apt. 471,West Eric,Virginia,83110,USA,2024-06-20,Inactive,C0114
M0709,Angel,Black,1950-03-21,Male,(227)916-2855x0418,emilysantos@example.net,573 Luna Plaza Apt. 915,Stoneland,Montana,9127,USA,2025-09-09,Active,C0995
M0710,Robert,Espinoza,1964-01-13,Male,(643)783-1313,ashleymcgrath@example.org,42877 Bush Crossroad,Port Kimberly,South Dakota,50357,USA,2022-03-05,Active,C0629
M0711,Mary,White,2002-12-23,Female,+1-637-556-1498,alex54@example.org,114 Teresa Lock,Turnerfurt,Oregon,88581,USA,2022-11-03,Inactive,C0132
M0712,Susan,Weaver,2005-09-27,Female,+1-401-877-4326x35389,margaretjones@example.org,41700 Murray Harbor Suite 225,North Tammyfurt,New Mexico,40018,USA,2023-06-02,Active,C0624
M0713,Dominic,Johnson,1965-02-25,Male,320-721-3290,uperkins@example.org,55507 Koch Center Suite 931,Cynthiaport,Illinois,49385,USA,2025-05-20,Active,C0341
M0714,Michael,Wright,1995-12-29,Male,691.728.3433,mperez@example.net,88132 Brady Junctions Suite 643,North Edwardside,Maine,64136,USA,2024-12-08,Inactive,C0687
M0715,Francis,Cunningham,1963-02-22,Male,985-605-1126,egreen@example.com,05205 Torres Inlet Suite 510,Port Amandaton,Delaware,47734,USA,2023-01-13,Inactive,C0188
M0716,Brett,Ward,1991-03-13,Male,944.812.4676x173,wjackson@example.net,872 Mills Gardens Apt. 138,Dianaport,Nevada,54639,USA,2023-08-24,Active,C0024
M0717,Cindy,Rush,2002-12-14,Female,888.819.6142x79175,molinadana@example.net,3894 Peterson Courts Suite 411,East Ross,Delaware,34918,USA,2025-11-20,Active,C0394
M0718,Andrew,Williams,1996-02-01,Male,(440)774-1728x3204,khanlaurie@example.net,33885 Terry Roads Suite 971,Michaelchester,Oklahoma,64790,USA,2025-05-23,Active,C0705
M0719,Paul,Gilmore,2005-02-22,Male,326.441.0117x5982,mclaughlinmichael@example.com,676 Paula Mall Apt. 914,West Donaldport,Iowa,49292,USA,2025-08-13,Active,C0250
M0720,Teresa,Bell,1964-10-26,Female,001-715-785-6265,clarkkristi@example.net,6358 Madden Rue,Lauriestad,Kentucky,14138,USA,2022-12-27,Inactive,C0912
M0721,Lindsay,Alvarez,1999-07-05,Female,5754108378,wprince@example.net,30282 Adam Knolls,Danaberg,Nebraska,25524,USA,2025-03-15,Active,C0959
M0722,Jason,Suarez,1984-08-09,Male,752-600-2913x515,lawrenceeric@example.net,943 Aaron Estates Suite 164,Ashleyshire,Delaware,45671,USA,2022-12-22,Inactive,C0202
M0723,Kathleen,Ramos,1980-08-23,Female,359.262.8929,taylorvictoria@example.org,126 Ortega Land,Andrewsland,New York,19178,USA,2025-10-27,Inactive,C0203
M0724,Jesse,Nicholson,1954-12-29,Male,001-296-954-2069x9553,thomas78@example.org,181 Hall Cove Suite 121,East Lindseyfurt,Indiana,23557,USA,2021-07-06,Inactive,C0635
M0725,Kevin,Chen,1974-07-23,Male,+1-501-875-2359,marybird@example.org,249 William Spur,New Jacqueline,Louisiana,75453,USA,2024-03-31,Active,C0370
